areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2021-07-21,39504,,,63
E92000001,England,nation,2021-07-20,43261,7417,8,82
E92000001,England,nation,2021-07-19,34657,36291,46,15
E92000001,England,nation,2021-07-18,44777,30922,42,21
E92000001,England,nation,2021-07-17,50955,32927,33,35
E92000001,England,nation,2021-07-16,47360,48908,31,42
E92000001,England,nation,2021-07-15,44523,55989,36,44
E92000001,England,nation,2021-07-14,37895,49165,27,36
E92000001,England,nation,2021-07-13,32883,42224,35,45
E92000001,England,nation,2021-07-12,30619,39547,30,6
E92000001,England,nation,2021-07-11,28421,26884,25,25
E92000001,England,nation,2021-07-10,29732,24872,29,26
E92000001,England,nation,2021-07-09,31231,28405,38,22
E92000001,England,nation,2021-07-08,28421,29188,26,31
E92000001,England,nation,2021-07-07,27516,33458,23,28
E92000001,England,nation,2021-07-06,25295,30902,17,30
E92000001,England,nation,2021-07-05,23286,29456,23,7
E92000001,England,nation,2021-07-04,20454,21298,22,15
E92000001,England,nation,2021-07-03,21317,20120,23,15
E92000001,England,nation,2021-07-02,22393,21693,24,22
E92000001,England,nation,2021-07-01,22948,23580,18,16
E92000001,England,nation,2021-06-30,21293,23383,20,11
E92000001,England,nation,2021-06-29,16802,22669,19,22
E92000001,England,nation,2021-06-28,18702,22864,9,3
E92000001,England,nation,2021-06-27,11560,15032,17,9
E92000001,England,nation,2021-06-26,15136,13161,8,20
E92000001,England,nation,2021-06-25,13498,14497,19,15
E92000001,England,nation,2021-06-24,13068,14680,19,16
E92000001,England,nation,2021-06-23,12765,14387,5,13
E92000001,England,nation,2021-06-22,9096,13189,9,23
E92000001,England,nation,2021-06-21,8766,12386,13,5
E92000001,England,nation,2021-06-20,7778,7999,20,6
E92000001,England,nation,2021-06-19,8954,6932,18,12
E92000001,England,nation,2021-06-18,9185,8505,10,9
E92000001,England,nation,2021-06-17,9371,9199,5,15
E92000001,England,nation,2021-06-16,7642,9155,10,8
E92000001,England,nation,2021-06-15,6486,8864,13,8
E92000001,England,nation,2021-06-14,6647,8685,8,3
E92000001,England,nation,2021-06-13,6269,5904,7,7
E92000001,England,nation,2021-06-12,6601,5251,13,10
E92000001,England,nation,2021-06-11,6782,6338,6,16
E92000001,England,nation,2021-06-10,6436,6530,9,5
E92000001,England,nation,2021-06-09,6201,6702,4,5
E92000001,England,nation,2021-06-08,5250,6427,7,13
E92000001,England,nation,2021-06-07,4913,6592,4,0
E92000001,England,nation,2021-06-06,4405,4611,5,4
E92000001,England,nation,2021-06-05,4810,3860,4,12
E92000001,England,nation,2021-06-04,5102,4742,8,9
E92000001,England,nation,2021-06-03,4310,4968,10,13
E92000001,England,nation,2021-06-02,3486,4920,9,11
E92000001,England,nation,2021-06-01,2539,4332,3,0
E92000001,England,nation,2021-05-31,2854,3059,7,0
E92000001,England,nation,2021-05-30,2621,2534,7,6
E92000001,England,nation,2021-05-29,2747,2391,5,6
E92000001,England,nation,2021-05-28,3434,2824,6,8
E92000001,England,nation,2021-05-27,2936,2958,7,8
E92000001,England,nation,2021-05-26,2540,3069,10,8
E92000001,England,nation,2021-05-25,2081,2682,3,13
E92000001,England,nation,2021-05-24,1972,2614,8,3
E92000001,England,nation,2021-05-23,1734,1837,6,3
E92000001,England,nation,2021-05-22,2242,1534,3,6
E92000001,England,nation,2021-05-21,2303,1796,7,6
E92000001,England,nation,2021-05-20,2307,1910,5,6
E92000001,England,nation,2021-05-19,2151,2169,3,3
E92000001,England,nation,2021-05-18,2008,2138,3,5
E92000001,England,nation,2021-05-17,1645,2242,5,3
E92000001,England,nation,2021-05-16,1471,1521,6,3
E92000001,England,nation,2021-05-15,1614,1258,7,7
E92000001,England,nation,2021-05-14,1828,1457,3,15
E92000001,England,nation,2021-05-13,2229,1653,4,8
E92000001,England,nation,2021-05-12,1804,1766,9,11
E92000001,England,nation,2021-05-11,2117,1745,13,18
E92000001,England,nation,2021-05-10,2009,2169,8,0
E92000001,England,nation,2021-05-09,1418,1846,8,2
E92000001,England,nation,2021-05-08,1742,1202,8,5
E92000001,England,nation,2021-05-07,2142,1557,8,13
E92000001,England,nation,2021-05-06,2194,1800,7,12
E92000001,England,nation,2021-05-05,1906,2037,12,27
E92000001,England,nation,2021-05-04,1659,2039,9,3
E92000001,England,nation,2021-05-03,1453,1693,8,1
E92000001,England,nation,2021-05-02,1377,1214,10,13
E92000001,England,nation,2021-05-01,1642,1124,7,6
E92000001,England,nation,2021-04-30,2046,1408,8,14
E92000001,England,nation,2021-04-29,2103,1761,11,15
E92000001,England,nation,2021-04-28,1829,2019,13,27
E92000001,England,nation,2021-04-27,2410,1693,10,16
E92000001,England,nation,2021-04-26,1752,2086,9,3
E92000001,England,nation,2021-04-25,1401,1773,12,7
E92000001,England,nation,2021-04-24,1804,1206,7,27
E92000001,England,nation,2021-04-23,2277,1576,17,38
E92000001,England,nation,2021-04-22,2315,1882,14,11
E92000001,England,nation,2021-04-21,1943,2123,17,20
E92000001,England,nation,2021-04-20,2169,1941,17,28
E92000001,England,nation,2021-04-19,2550,2128,16,2
E92000001,England,nation,2021-04-18,1495,2130,15,7
E92000001,England,nation,2021-04-17,1897,1308,17,31
E92000001,England,nation,2021-04-16,2225,1805,15,30
E92000001,England,nation,2021-04-15,2171,1797,17,25
E92000001,England,nation,2021-04-14,2054,1937,9,34
E92000001,England,nation,2021-04-13,2070,1908,19,18
E92000001,England,nation,2021-04-12,3222,2234,25,13
E92000001,England,nation,2021-04-11,1338,1897,19,3
E92000001,England,nation,2021-04-10,2032,1889,18,33
E92000001,England,nation,2021-04-09,2638,2313,17,51
E92000001,England,nation,2021-04-08,2486,2480,31,44
E92000001,England,nation,2021-04-07,2304,2586,25,40
E92000001,England,nation,2021-04-06,1937,2561,23,15
E92000001,England,nation,2021-04-05,2236,2189,10,16
E92000001,England,nation,2021-04-04,1954,1925,23,10
E92000001,England,nation,2021-04-03,2847,2015,27,8
E92000001,England,nation,2021-04-02,2881,2126,19,47
E92000001,England,nation,2021-04-01,3784,2864,28,41
E92000001,England,nation,2021-03-31,3327,3139,36,36
E92000001,England,nation,2021-03-30,3384,2954,38,39
E92000001,England,nation,2021-03-29,4112,3200,25,22
E92000001,England,nation,2021-03-28,3153,4093,27,17
E92000001,England,nation,2021-03-27,3813,2941,29,43
E92000001,England,nation,2021-03-26,5273,3619,41,61
E92000001,England,nation,2021-03-25,5286,4447,37,49
E92000001,England,nation,2021-03-24,4615,5107,34,92
E92000001,England,nation,2021-03-23,4583,4337,45,103
E92000001,England,nation,2021-03-22,4746,5144,57,16
E92000001,England,nation,2021-03-21,4459,4516,69,26
E92000001,England,nation,2021-03-20,4732,3366,59,82
E92000001,England,nation,2021-03-19,3809,4137,56,81
E92000001,England,nation,2021-03-18,5213,4522,52,83
E92000001,England,nation,2021-03-17,4827,4849,64,121
E92000001,England,nation,2021-03-16,4391,4741,66,101
E92000001,England,nation,2021-03-15,4264,5436,83,61
E92000001,England,nation,2021-03-14,3774,3583,79,40
E92000001,England,nation,2021-03-13,4539,3451,98,106
E92000001,England,nation,2021-03-12,5529,4614,81,145
E92000001,England,nation,2021-03-11,5744,4686,107,138
E92000001,England,nation,2021-03-10,4863,5008,97,156
E92000001,England,nation,2021-03-09,4894,5286,113,207
E92000001,England,nation,2021-03-08,3903,5589,121,62
E92000001,England,nation,2021-03-07,4497,3542,113,61
E92000001,England,nation,2021-03-06,5118,3703,129,135
E92000001,England,nation,2021-03-05,5053,4551,156,211
E92000001,England,nation,2021-03-04,5643,4790,129,202
E92000001,England,nation,2021-03-03,5408,5097,126,264
E92000001,England,nation,2021-03-02,5530,5683,154,307
E92000001,England,nation,2021-03-01,4738,5890,192,99
E92000001,England,nation,2021-02-28,5080,3953,197,115
E92000001,England,nation,2021-02-27,6527,4103,196,254
E92000001,England,nation,2021-02-26,7393,5666,194,300
E92000001,England,nation,2021-02-25,8623,6610,220,266
E92000001,England,nation,2021-02-24,8644,7292,239,380
E92000001,England,nation,2021-02-23,7292,8142,254,483
E92000001,England,nation,2021-02-22,9420,9855,241,165
E92000001,England,nation,2021-02-21,8408,6798,286,190
E92000001,England,nation,2021-02-20,8964,6890,302,397
E92000001,England,nation,2021-02-19,10296,8883,317,481
E92000001,England,nation,2021-02-18,10740,9905,364,377
E92000001,England,nation,2021-02-17,10926,10021,384,638
E92000001,England,nation,2021-02-16,9236,10815,395,733
E92000001,England,nation,2021-02-15,8609,12468,460,210
E92000001,England,nation,2021-02-14,9499,7533,435,228
E92000001,England,nation,2021-02-13,11697,7742,431,544
E92000001,England,nation,2021-02-12,13299,10562,451,657
E92000001,England,nation,2021-02-11,12001,11227,509,594
E92000001,England,nation,2021-02-10,11551,11839,542,926
E92000001,England,nation,2021-02-09,10916,12240,537,974
E92000001,England,nation,2021-02-08,12270,13841,611,304
E92000001,England,nation,2021-02-07,14466,10154,567,329
E92000001,England,nation,2021-02-06,16302,10583,608,724
E92000001,England,nation,2021-02-05,17314,13972,675,892
E92000001,England,nation,2021-02-04,18529,16153,647,817
E92000001,England,nation,2021-02-03,17265,17409,777,1173
E92000001,England,nation,2021-02-02,15021,17659,759,1356
E92000001,England,nation,2021-02-01,16815,20113,804,368
E92000001,England,nation,2021-01-31,19054,13708,810,528
E92000001,England,nation,2021-01-30,21089,15001,831,1098
E92000001,England,nation,2021-01-29,26709,19680,943,1124
E92000001,England,nation,2021-01-28,26182,21843,1016,1088
E92000001,England,nation,2021-01-27,22914,23234,1006,1568
E92000001,England,nation,2021-01-26,17920,24435,960,1520
E92000001,England,nation,2021-01-25,20149,27107,1070,548
E92000001,England,nation,2021-01-24,27580,15453,1040,551
E92000001,England,nation,2021-01-23,30496,19874,1058,1233
E92000001,England,nation,2021-01-22,37115,26907,1123,1251
E92000001,England,nation,2021-01-21,34371,28755,1133,1134
E92000001,England,nation,2021-01-20,35061,31750,1173,1662
E92000001,England,nation,2021-01-19,30371,35967,1244,1507
E92000001,England,nation,2021-01-18,34134,40720,1168,560
E92000001,England,nation,2021-01-17,35263,26207,1167,598
E92000001,England,nation,2021-01-16,37759,27651,1170,1140
E92000001,England,nation,2021-01-15,50741,36793,1101,1139
E92000001,England,nation,2021-01-14,44358,38520,1088,1114
E92000001,England,nation,2021-01-13,42898,41153,1101,1400
E92000001,England,nation,2021-01-12,41121,44671,1091,1151
E92000001,England,nation,2021-01-11,41835,51996,1004,495
E92000001,England,nation,2021-01-10,50291,32855,981,498
E92000001,England,nation,2021-01-09,54257,35439,926,871
E92000001,England,nation,2021-01-08,61757,42331,887,1156
E92000001,England,nation,2021-01-07,46841,46853,888,1004
E92000001,England,nation,2021-01-06,56060,51312,824,884
E92000001,England,nation,2021-01-05,54940,58036,820,784
E92000001,England,nation,2021-01-04,53180,69113,752,370
E92000001,England,nation,2021-01-03,46853,49507,652,392
E92000001,England,nation,2021-01-02,49248,54164,669,349
E92000001,England,nation,2021-01-01,50746,28222,643,613
E92000001,England,nation,2020-12-31,49510,46683,652,820
E92000001,England,nation,2020-12-30,43554,62889,625,919
E92000001,England,nation,2020-12-29,47164,72507,578,360
E92000001,England,nation,2020-12-28,36511,40038,590,322
E92000001,England,nation,2020-12-27,25619,42433,575,246
E92000001,England,nation,2020-12-26,31307,36704,567,175
E92000001,England,nation,2020-12-25,31560,12674,537,570
E92000001,England,nation,2020-12-24,35561,28700,486,468
E92000001,England,nation,2020-12-23,34247,37615,481,625
E92000001,England,nation,2020-12-22,32288,40901,489,608
E92000001,England,nation,2020-12-21,28742,42594,496,198
E92000001,England,nation,2020-12-20,32155,28939,430,241
E92000001,England,nation,2020-12-19,22775,21736,412,441
E92000001,England,nation,2020-12-18,24452,31829,433,403
E92000001,England,nation,2020-12-17,22401,29597,439,438
E92000001,England,nation,2020-12-16,23432,30127,355,537
E92000001,England,nation,2020-12-15,16504,29100,388,467
E92000001,England,nation,2020-12-14,17882,29516,412,194
E92000001,England,nation,2020-12-13,17164,18131,365,138
E92000001,England,nation,2020-12-12,17468,16030,374,440
E92000001,England,nation,2020-12-11,17899,19864,397,353
E92000001,England,nation,2020-12-10,17622,18548,379,419
E92000001,England,nation,2020-12-09,12960,17460,374,451
E92000001,England,nation,2020-12-08,10459,16671,375,538
E92000001,England,nation,2020-12-07,11623,17395,354,177
E92000001,England,nation,2020-12-06,14294,10870,355,201
E92000001,England,nation,2020-12-05,12666,10143,344,344
E92000001,England,nation,2020-12-04,13412,12882,411,424
E92000001,England,nation,2020-12-03,11992,12529,405,328
E92000001,England,nation,2020-12-02,13323,13463,336,555
E92000001,England,nation,2020-12-01,11618,13516,346,531
E92000001,England,nation,2020-11-30,10869,15030,362,189
E92000001,England,nation,2020-11-29,10054,8906,403,194
E92000001,England,nation,2020-11-28,13323,9207,383,397
E92000001,England,nation,2020-11-27,13557,12268,364,451
E92000001,England,nation,2020-11-26,14637,12275,372,411
E92000001,England,nation,2020-11-25,15893,13929,425,604
E92000001,England,nation,2020-11-24,9854,14030,406,535
E92000001,England,nation,2020-11-23,13329,16208,400,194
E92000001,England,nation,2020-11-22,16668,10035,406,370
E92000001,England,nation,2020-11-21,17615,10616,397,266
E92000001,England,nation,2020-11-20,17845,14678,390,436
E92000001,England,nation,2020-11-19,20291,15504,397,416
E92000001,England,nation,2020-11-18,17189,18213,435,423
E92000001,England,nation,2020-11-17,17549,20326,364,518
E92000001,England,nation,2020-11-16,19423,23730,358,191
E92000001,England,nation,2020-11-15,21998,14214,382,143
E92000001,England,nation,2020-11-14,24298,16036,358,396
E92000001,England,nation,2020-11-13,24540,21648,357,280
E92000001,England,nation,2020-11-12,30843,21948,351,469
E92000001,England,nation,2020-11-11,19970,24645,312,478
E92000001,England,nation,2020-11-10,18622,24466,319,460
E92000001,England,nation,2020-11-09,19036,28093,401,175
E92000001,England,nation,2020-11-08,18293,17962,341,127
E92000001,England,nation,2020-11-07,21875,16618,333,328
E92000001,England,nation,2020-11-06,20268,20829,333,303
E92000001,England,nation,2020-11-05,21137,20876,301,297
E92000001,England,nation,2020-11-04,21863,20697,278,388
